"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions"
"1042332696624750593","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","en","RT @ItsLifeFact: the saddest thing in the world is when you found the right person at the wrong time.","2018-09-19 08:40","Twitter Web App","","","","True","","1.04207100350822e+18","absent","absent","0","0","0","0","[]","[]","['396086694']"
"973941299186425858","pfvkod3V6dXppwrPrVwjEEtT74Ny7k0VikIGbe6HdWs=","pfvkod3V6dXppwrPrVwjEEtT74Ny7k0VikIGbe6HdWs=","pfvkod3V6dXppwrPrVwjEEtT74Ny7k0VikIGbe6HdWs=","","","","20","38","2017-07-12","en","und","@Reuters N+n+n+","2018-03-14 15:17","Twitter for Android","1652541.0","9.739030415639756e+17","","False","","","absent","absent","0","0","0","0","[]","[]","['1652541']"
"1027470139489509378","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","en","@TinashePhibeon1 @Blue_Footy I think he is better than his replacement cde","2018-08-09 08:22","Twitter Web App","1.019653681631957e+18","1.027236960535044e+18","","False","","","absent","absent","0","1","0","0","[]","[]","['1019653681631956992', '317750296']"
"1057194514308366336","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","und","@willoe_tee @makoni_tinaye @matizprivie @bmusonza @matigary @MthuliNcube Kkkkkkk saka uri kuda kuitirwa nani zvese izvozvo  ?Iwewe unenge uripi ,uchiitei.ayas","2018-10-30 08:56","Twitter Web App","471909279.0","1.0571233295497134e+18","","False","","","absent","absent","0","0","0","0","[]","[]","['471909279', '2909151712', '190411672', '32836225', '4926928720', '259214687']"
"1075794033308565504","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","fi","@RMajongwe @Gibbo14918178 @matigary @sekuru_gudo @GomoDubi @xandatoto @DivaMandeya @joseph_simoyi @CharityMaodza munoda kunzwa zvamunofarira kunzwa chete handiti? What happened to critical analyisis nhai vamudzidzisi- mbongororo?","2018-12-20 16:44","Twitter Web App","7.648429104288276e+17","1.0757831594957046e+18","","False","","","absent","absent","0","1","2","0","[]","[]","['764842910428827649', '827623653986689025', '4926928720', '938115077777055744', '809674977813426176', '34308853', '1062002343661785093', '790817573067689984', '761455676229054465']"
"1077856214074249216","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","en","RT @ZEZURUROCKSTAR: Violence as @winkydonline is pelted by bottles before performance in Kwekwe over the Jecha song. https://t.co/FBbWGHFskq","2018-12-26 09:18","Twitter Web App","","","","True","","1.0774080885573468e+18","absent","absent","0","0","0","0","[]","[]","['2597510456', '79480474']"
"1014513675821113344","Ct4B012M22Y6RN1iDdtpoBJNMIhLhTGXvC821LpbBU=","Ct4B012M22Y6RN1iDdtpoBJNMIhLhTGXvC821LpbBU=","Ct4B012M22Y6RN1iDdtpoBJNMIhLhTGXvC821LpbBU=","Kingdom of Saudi Arabia","I used to love my old twitter account, then everyone from work found me. This is my new account 😫
Stay private, keep them guessing.....!!","","435","4717","2013-09-13","en","ar","@hedeel18 حافظ* تصحيح","2018-07-04 14:18","Twitter for iPhone","9.793871157830164e+17","1.014253009772208e+18","","False","","","absent","absent","0","0","0","0","[]","[]","['979387115783016448']"
"962366538341847040","pfvkod3V6dXppwrPrVwjEEtT74Ny7k0VikIGbe6HdWs=","pfvkod3V6dXppwrPrVwjEEtT74Ny7k0VikIGbe6HdWs=","pfvkod3V6dXppwrPrVwjEEtT74Ny7k0VikIGbe6HdWs=","","","","20","38","2017-07-12","en","pl","@donchauke Marwadziwa Sekuru","2018-02-10 16:43","Twitter for Android","2763377849.0","9.623195612017254e+17","","False","","","absent","absent","0","1","0","0","[]","[]","['2763377849']"
"1078722842173341696","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","en","@pamafrigroup was working wonderfully.During that moment ndirimo, that drama took me down memory lane,ndapotsa ndapfuura bus stop yangu","2018-12-28 18:42","Twitter Web App","9.530625038267188e+17","1.0787200424041432e+18","","False","","","absent","absent","0","0","1","0","[]","[]","['953062503826718722']"
"1078717710207463424","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","in","@pamafrigroup apa ndrikuona hangu drama raparaffin ndrimuna pogba","2018-12-28 18:21","Twitter Web App","9.530625038267188e+17","1.0786988001879286e+18","","False","","","absent","absent","1","1","1","0","[]","[]","['953062503826718722']"
"1078699803352199176","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","ca","@pamafrigroup toda mamwe ma quantum kana 10 zvobva zvangodhakwa.those ones are more comfortable","2018-12-28 17:10","Twitter Web App","9.530625038267188e+17","1.0786988001879286e+18","","False","","","absent","absent","0","0","5","2","[]","[]","['953062503826718722']"
"952604273296183297","pfvkod3V6dXppwrPrVwjEEtT74Ny7k0VikIGbe6HdWs=","pfvkod3V6dXppwrPrVwjEEtT74Ny7k0VikIGbe6HdWs=","pfvkod3V6dXppwrPrVwjEEtT74Ny7k0VikIGbe6HdWs=","","","","20","38","2017-07-12","en","tl","Kamba yasangana neanedemo https://t.co/M6ivqEDQHp","2018-01-14 18:12","Twitter for Android","","","9.52592991327277e+17","False","","","absent","absent","0","1","0","0","[]","['https://twitter.com/donchauke/status/952592991327277056']","[]"
"1050108748667252736","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","in","hamusi mava kunyanya here mai naniso","2018-10-10 19:40","Twitter Web App","","","1.0500356592794092e+18","False","","","absent","absent","0","1","0","0","[]","[]","[]"
